#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 03 01 00 26 999 99.0 99.0  0.73 11.11  9.57 346 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 00 56 999 99.0 99.0  0.71 11.11  9.49 345 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 01 26 999 99.0 99.0  0.76  9.88  9.40 342 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 01 56 999 99.0 99.0  0.80 11.11  9.46 351 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 02 26 999 99.0 99.0  0.94 11.11  9.41 351 9999.0 999.0  14.2 999.0 99.0 99.00
2024 03 01 02 56 999 99.0 99.0  0.94 10.53  9.09 348 9999.0 999.0  14.1 999.0 99.0 99.00
2024 03 01 03 26 999 99.0 99.0  1.08  9.88  9.53 343 9999.0 999.0  13.9 999.0 99.0 99.00
2024 03 01 03 56 999 99.0 99.0  1.34 10.53  9.80 343 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 04 26 999 99.0 99.0  1.24  9.88  9.61 343 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 04 56 999 99.0 99.0  1.29 11.11  9.78 346 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 05 26 999 99.0 99.0  1.20 11.11  9.61 343 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 05 56 999 99.0 99.0  1.30 10.53  9.42 346 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 06 26 999 99.0 99.0  1.23 11.11  9.10 348 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 06 56 999 99.0 99.0  1.38 11.11  9.33 348 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 07 26 999 99.0 99.0  1.33 11.76  9.29 352 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 07 56 999 99.0 99.0  1.36 11.11  9.51 351 9999.0 999.0  13.8 999.0 99.0 99.00
2024 03 01 08 26 999 99.0 99.0  1.30 11.11  9.30 346 9999.0 999.0  13.7 999.0 99.0 99.00
2024 03 01 08 56 999 99.0 99.0  1.21 11.76  9.14 343 9999.0 999.0  14.0 999.0 99.0 99.00
2024 03 01 09 26 999 99.0 99.0  1.46 11.11  9.58 345 9999.0 999.0  14.1 999.0 99.0 99.00
2024 03 01 09 56 999 99.0 99.0  1.49 11.76  9.21 351 9999.0 999.0  14.2 999.0 99.0 99.00
2024 03 01 10 26 999 99.0 99.0  1.46 11.76  9.52 349 9999.0 999.0  14.2 999.0 99.0 99.00
2024 03 01 10 56 999 99.0 99.0  1.58 11.11  9.59 349 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 11 26 999 99.0 99.0  1.50 11.11  9.50 348 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 11 56 999 99.0 99.0  1.48 11.11  9.53 348 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 12 26 999 99.0 99.0  1.30 10.53  9.35 346 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 12 56 999 99.0 99.0  1.43 10.53  9.58 346 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 13 26 999 99.0 99.0  1.58 10.53  9.82 345 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 13 56 999 99.0 99.0  1.56  9.88  9.83 343 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 14 26 999 99.0 99.0  1.59 11.11  9.63 346 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 14 56 999 99.0 99.0  1.67 11.11  9.69 346 9999.0 999.0  14.3 999.0 99.0 99.00
2024 03 01 15 26 999 99.0 99.0  1.50 11.11  9.69 348 9999.0 999.0  14.2 999.0 99.0 99.00
2024 03 01 15 56 999 99.0 99.0  1.52 10.53  9.73 343 9999.0 999.0  14.0 999.0 99.0 99.00
2024 03 01 16 26 999 99.0 99.0  1.85 11.11 10.26 346 9999.0 999.0  14.0 999.0 99.0 99.00
2024 03 01 16 56 999 99.0 99.0  1.55 10.53  9.79 348 9999.0 999.0  14.1 999.0 99.0 99.00
2024 03 01 17 26 999 99.0 99.0  1.74 11.11 10.08 349 9999.0 999.0  14.1 999.0 99.0 99.00
2024 03 01 17 56 999 99.0 99.0  1.63 12.50 10.06 356 9999.0 999.0  14.1 999.0 99.0 99.00
2024 03 01 18 26 999 99.0 99.0  1.83 11.76 10.28 353 9999.0 999.0  14.1 999.0 99.0 99.00
2024 03 01 18 56 999 99.0 99.0  1.68 11.11 10.04 349 9999.0 999.0  14.1 999.0 99.0 99.00
2024 03 01 19 26 999 99.0 99.0  1.67 10.53 10.16 342 9999.0 999.0  14.2 999.0 99.0 99.00
2024 03 01 19 56 999 99.0 99.0  1.80 10.53 10.00 348 9999.0 999.0  14.2 999.0 99.0 99.00
2024 03 01 20 26 999 99.0 99.0  1.86 11.11 10.42 349 9999.0 999.0  14.2 999.0 99.0 99.00
2024 03 01 20 56 999 99.0 99.0  1.77 11.11 10.27 346 9999.0 999.0  14.2 999.0 99.0 99.00
2024 03 01 21 26 999 99.0 99.0  1.74 11.11 10.36 348 9999.0 999.0  14.2 999.0 99.0 99.00
