#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 05 01 00 26 999 99.0 99.0  1.17 12.50  4.79 342 9999.0 999.0  11.9 999.0 99.0 99.00
2023 05 01 00 56 999 99.0 99.0  1.23  5.26  4.87 332 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 01 26 999 99.0 99.0  1.26  5.26  4.83 331 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 01 56 999 99.0 99.0  1.14  5.00  4.62 328 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 02 26 999 99.0 99.0  1.04  4.76  4.74 334 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 02 56 999 99.0 99.0  1.01 12.50  4.78 349 9999.0 999.0  11.7 999.0 99.0 99.00
2023 05 01 03 26 999 99.0 99.0  1.04 12.50  4.95 353 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 03 56 999 99.0 99.0  1.15 16.67  5.14   2 9999.0 999.0  11.7 999.0 99.0 99.00
2023 05 01 04 26 999 99.0 99.0  1.04 12.50  5.19 358 9999.0 999.0  11.7 999.0 99.0 99.00
2023 05 01 04 56 999 99.0 99.0  1.07 16.67  5.62   3 9999.0 999.0  11.7 999.0 99.0 99.00
2023 05 01 05 26 999 99.0 99.0  1.01 16.67  5.68   6 9999.0 999.0  11.6 999.0 99.0 99.00
2023 05 01 05 56 999 99.0 99.0  1.00 16.67  5.69   5 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 06 26 999 99.0 99.0  1.02 16.67  6.40  19 9999.0 999.0  11.6 999.0 99.0 99.00
2023 05 01 06 56 999 99.0 99.0  1.04 16.67  6.51  14 9999.0 999.0  11.6 999.0 99.0 99.00
2023 05 01 07 26 999 99.0 99.0  0.96 15.38  6.45  14 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 07 56 999 99.0 99.0  0.97 16.67  6.73  16 9999.0 999.0  11.4 999.0 99.0 99.00
2023 05 01 08 26 999 99.0 99.0  0.98 14.29  6.70   0 9999.0 999.0  11.4 999.0 99.0 99.00
2023 05 01 08 56 999 99.0 99.0  1.07 15.38  7.24  12 9999.0 999.0  11.4 999.0 99.0 99.00
2023 05 01 09 26 999 99.0 99.0  0.99 14.29  7.11 358 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 09 56 999 99.0 99.0  1.20 13.33  8.82 358 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 10 26 999 99.0 99.0  1.17 14.29  8.44   3 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 10 56 999 99.0 99.0  1.25 14.29  8.77   5 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 11 26 999 99.0 99.0  1.31 12.50  8.93 355 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 11 56 999 99.0 99.0  1.45 12.50  9.36 353 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 12 26 999 99.0 99.0  1.29 13.33  8.79 356 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 12 56 999 99.0 99.0  1.46 12.50  9.19 353 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 13 26 999 99.0 99.0  1.52 14.29  9.48 359 9999.0 999.0  11.4 999.0 99.0 99.00
2023 05 01 13 56 999 99.0 99.0  1.52 11.76  9.14 348 9999.0 999.0  11.3 999.0 99.0 99.00
2023 05 01 14 26 999 99.0 99.0  1.35 11.11  8.60 349 9999.0 999.0  11.3 999.0 99.0 99.00
2023 05 01 14 56 999 99.0 99.0  1.52 11.11  8.74 348 9999.0 999.0  11.3 999.0 99.0 99.00
2023 05 01 15 26 999 99.0 99.0  1.45 11.11  8.33 348 9999.0 999.0  11.3 999.0 99.0 99.00
2023 05 01 15 56 999 99.0 99.0  1.50 13.33  8.42 355 9999.0 999.0  11.3 999.0 99.0 99.00
2023 05 01 16 26 999 99.0 99.0  1.53 12.50  8.56 351 9999.0 999.0  11.4 999.0 99.0 99.00
2023 05 01 16 56 999 99.0 99.0  1.52 14.29  8.46 358 9999.0 999.0  11.4 999.0 99.0 99.00
2023 05 01 17 26 999 99.0 99.0  1.56 11.11  8.49 346 9999.0 999.0  11.4 999.0 99.0 99.00
2023 05 01 17 56 999 99.0 99.0  1.43 11.11  8.19 348 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 18 26 999 99.0 99.0  1.58 13.33  8.59 355 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 01 18 56 999 99.0 99.0  1.48 11.11  8.07 348 9999.0 999.0  11.6 999.0 99.0 99.00
2023 05 01 19 26 999 99.0 99.0  1.47 10.53  7.92 346 9999.0 999.0  11.6 999.0 99.0 99.00
2023 05 01 19 56 999 99.0 99.0  1.65 11.11  8.58 351 9999.0 999.0  11.6 999.0 99.0 99.00
2023 05 01 20 26 999 99.0 99.0  1.55 11.76  8.35 349 9999.0 999.0  11.7 999.0 99.0 99.00
2023 05 01 20 56 999 99.0 99.0  1.62 11.11  8.50 346 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 21 26 999 99.0 99.0  1.46  9.88  8.04 341 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 21 56 999 99.0 99.0  1.49 10.53  8.34 342 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 22 26 999 99.0 99.0  1.64 11.76  9.10 346 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 22 56 999 99.0 99.0  1.67 11.76  9.39 349 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 23 26 999 99.0 99.0  1.69 12.50  9.77 351 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 01 23 56 999 99.0 99.0  1.71 12.50  9.87 345 9999.0 999.0  11.8 999.0 99.0 99.00
2023 05 02 00 26 999 99.0 99.0  1.63 11.76  9.66 346 9999.0 999.0  11.7 999.0 99.0 99.00
2023 05 02 00 56 999 99.0 99.0  1.68 12.50  9.99 349 9999.0 999.0  11.7 999.0 99.0 99.00
2023 05 02 01 26 999 99.0 99.0  1.51 11.76  9.55 349 9999.0 999.0  11.6 999.0 99.0 99.00
2023 05 02 01 56 999 99.0 99.0  1.51 11.76  9.64 345 9999.0 999.0  11.6 999.0 99.0 99.00
2023 05 02 02 26 999 99.0 99.0  1.67 13.33  9.96 356 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 02 02 56 999 99.0 99.0  1.76 11.76 10.04 346 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 02 03 26 999 99.0 99.0  1.70 11.76 10.03 348 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 02 03 56 999 99.0 99.0  1.45 12.50  9.54 349 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 02 04 26 999 99.0 99.0  1.51 11.11  9.78 345 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 02 04 56 999 99.0 99.0  1.53 10.53  9.52 343 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 02 05 26 999 99.0 99.0  1.57 10.53  9.53 342 9999.0 999.0  11.5 999.0 99.0 99.00
2023 05 02 05 56 999 99.0 99.0  1.51 11.11  9.26 349 9999.0 999.0  11.6 999.0 99.0 99.00
