#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,deg ,   hPa , degC  ,degC , degC , nmi ,   ft
2024,3,1,0,26,999,99.0,99.0,0.73,11.11,9.57,346,9999.0,999.0,14.3,999.0,99.0,99.00
2024,3,1,0,56,999,99.0,99.0,0.71,11.11,9.49,345,9999.0,999.0,14.3,999.0,99.0,99.00
2024,3,1,1,26,999,99.0,99.0,0.76,9.88,9.40,342,9999.0,999.0,14.3,999.0,99.0,99.00
2024,3,1,1,56,999,99.0,99.0,0.80,11.11,9.46,351,9999.0,999.0,14.3,999.0,99.0,99.00
2024,3,1,2,26,999,99.0,99.0,0.94,11.11,9.41,351,9999.0,999.0,14.2,999.0,99.0,99.00
2024,3,1,2,56,999,99.0,99.0,0.94,10.53,9.09,348,9999.0,999.0,14.1,999.0,99.0,99.00
2024,3,1,3,26,999,99.0,99.0,1.08,9.88,9.53,343,9999.0,999.0,13.9,999.0,99.0,99.00
2024,3,1,3,56,999,99.0,99.0,1.34,10.53,9.80,343,9999.0,999.0,13.8,999.0,99.0,99.00
2024,3,1,4,26,999,99.0,99.0,1.24,9.88,9.61,343,9999.0,999.0,13.8,999.0,99.0,99.00
2024,3,1,4,56,999,99.0,99.0,1.29,11.11,9.78,346,9999.0,999.0,13.8,999.0,99.0,99.00
2024,3,1,5,26,999,99.0,99.0,1.20,11.11,9.61,343,9999.0,999.0,13.8,999.0,99.0,99.00
2024,3,1,5,56,999,99.0,99.0,1.30,10.53,9.42,346,9999.0,999.0,13.8,999.0,99.0,99.00
2024,3,1,6,26,999,99.0,99.0,1.23,11.11,9.10,348,9999.0,999.0,13.8,999.0,99.0,99.00
2024,3,1,6,56,999,99.0,99.0,1.38,11.11,9.33,348,9999.0,999.0,13.8,999.0,99.0,99.00
