#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD ,  APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec ,  sec ,deg ,   hPa , degC  ,degC , degC , nmi ,   ft
2023,1,1,0,26,999,99.0,99.0,1.29,13.33,10.68,352,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,0,56,999,99.0,99.0,1.24,12.50,9.37,352,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,1,26,999,99.0,99.0,1.47,11.11,7.15,345,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,1,56,999,99.0,99.0,1.54,11.11,6.33,343,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,2,26,999,99.0,99.0,1.65,11.76,6.58,348,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,2,56,999,99.0,99.0,1.70,13.33,6.68,352,9999.0,999.0,13.1,999.0,99.0,99.00
2023,1,1,3,26,999,99.0,99.0,1.87,12.50,7.03,353,9999.0,999.0,13.1,999.0,99.0,99.00
2023,1,1,3,56,999,99.0,99.0,1.82,11.76,7.17,348,9999.0,999.0,13.1,999.0,99.0,99.00
2023,1,1,4,26,999,99.0,99.0,1.74,12.50,6.92,346,9999.0,999.0,13.1,999.0,99.0,99.00
2023,1,1,4,56,999,99.0,99.0,1.66,12.50,6.68,349,9999.0,999.0,13.1,999.0,99.0,99.00
2023,1,1,5,26,999,99.0,99.0,1.62,11.76,7.07,342,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,5,56,999,99.0,99.0,1.65,12.50,7.34,351,9999.0,999.0,13.3,999.0,99.0,99.00
2023,1,1,6,26,999,99.0,99.0,1.83,12.50,7.58,348,9999.0,999.0,13.3,999.0,99.0,99.00
2023,1,1,6,56,999,99.0,99.0,1.73,13.33,7.29,353,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,7,26,999,99.0,99.0,1.68,11.76,7.32,348,9999.0,999.0,13.3,999.0,99.0,99.00
2023,1,1,7,56,999,99.0,99.0,1.66,11.76,6.74,346,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,8,26,999,99.0,99.0,1.80,11.11,6.85,345,9999.0,999.0,13.2,999.0,99.0,99.00
2023,1,1,8,56,999,99.0,99.0,1.86,11.11,7.12,345,9999.0,999.0,13.2,999.0,99.0,99.00
