#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,deg ,   hPa , degC  ,degC , degC , nmi ,   ft
2023,8,1,0,26,999,99.0,99.0,0.71,5.00,4.46,324,9999.0,999.0,16.4,999.0,99.0,99.00
2023,8,1,0,56,999,99.0,99.0,0.70,5.00,4.57,322,9999.0,999.0,16.3,999.0,99.0,99.00
2023,8,1,1,26,999,99.0,99.0,0.67,5.00,4.27,327,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,1,56,999,99.0,99.0,0.70,5.26,4.32,322,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,2,26,999,99.0,99.0,0.68,5.00,4.38,324,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,2,56,999,99.0,99.0,0.70,4.55,4.37,325,9999.0,999.0,16.1,999.0,99.0,99.00
2023,8,1,3,26,999,99.0,99.0,0.67,5.26,4.41,321,9999.0,999.0,16.1,999.0,99.0,99.00
2023,8,1,3,56,999,99.0,99.0,0.70,4.76,4.51,320,9999.0,999.0,16.1,999.0,99.0,99.00
2023,8,1,4,26,999,99.0,99.0,0.65,4.76,4.55,320,9999.0,999.0,16.1,999.0,99.0,99.00
2023,8,1,4,56,999,99.0,99.0,0.67,7.69,4.75,331,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,5,26,999,99.0,99.0,0.67,7.69,4.66,329,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,5,56,999,99.0,99.0,0.64,8.33,4.80,332,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,6,26,999,99.0,99.0,0.59,7.69,4.55,328,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,6,56,999,99.0,99.0,0.55,7.69,4.66,332,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,7,26,999,99.0,99.0,0.50,7.14,4.48,327,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,7,56,999,99.0,99.0,0.47,7.14,4.50,329,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,8,26,999,99.0,99.0,0.48,7.14,5.00,329,9999.0,999.0,16.2,999.0,99.0,99.00
2023,8,1,8,56,999,99.0,99.0,0.45,7.14,4.95,331,9999.0,999.0,16.2,999.0,99.0,99.00
