#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2017,1,1,0,19,999,99.0,99.0,1.34,12.50,9.73,353,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,0,49,999,99.0,99.0,1.49,11.76,9.51,348,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,1,19,999,99.0,99.0,1.23,10.53,9.36,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,1,49,999,99.0,99.0,1.30,11.76,9.38,352,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,2,19,999,99.0,99.0,1.37,10.53,9.52,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,2,49,999,99.0,99.0,1.23,13.33,9.05,2,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,3,19,999,99.0,99.0,1.16,13.33,8.02,358,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,3,49,999,99.0,99.0,1.22,11.11,8.32,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,4,19,999,99.0,99.0,1.33,13.33,8.29,359,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,4,49,999,99.0,99.0,1.16,11.11,7.58,342,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,5,19,999,99.0,99.0,1.09,11.11,6.94,348,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,5,49,999,99.0,99.0,1.25,11.76,7.60,351,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,6,19,999,99.0,99.0,1.15,12.50,7.89,355,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,1,6,49,999,99.0,99.0,1.26,11.11,8.48,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,7,19,999,99.0,99.0,1.24,12.50,8.81,351,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,7,49,999,99.0,99.0,1.18,12.50,8.79,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,8,19,999,99.0,99.0,1.24,12.50,9.27,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,8,49,999,99.0,99.0,1.42,11.76,9.42,348,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,9,19,999,99.0,99.0,1.26,11.76,8.82,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,9,49,999,99.0,99.0,1.32,11.76,8.83,348,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,10,19,999,99.0,99.0,1.21,10.53,8.47,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,10,49,999,99.0,99.0,1.20,11.76,8.59,351,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,11,19,999,99.0,99.0,1.04,10.53,7.97,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,11,49,999,99.0,99.0,1.09,10.53,7.40,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,12,19,999,99.0,99.0,1.12,12.50,6.97,348,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,12,49,999,99.0,99.0,1.07,11.11,6.98,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,13,19,999,99.0,99.0,1.21,10.53,7.40,348,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,13,49,999,99.0,99.0,1.24,9.88,7.46,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,14,19,999,99.0,99.0,1.10,10.53,7.23,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,14,49,999,99.0,99.0,1.18,11.11,7.56,351,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,15,19,999,99.0,99.0,1.03,12.50,7.22,355,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,1,15,49,999,99.0,99.0,1.24,11.11,7.96,349,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,1,16,19,999,99.0,99.0,1.27,10.53,7.73,341,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,1,16,49,999,99.0,99.0,1.35,11.11,7.56,346,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,1,17,19,999,99.0,99.0,1.58,10.53,7.86,342,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,1,17,49,999,99.0,99.0,1.58,10.53,7.60,346,9999.0,999.0,12.1,999.0,99.0,99.00
2017,1,1,18,19,999,99.0,99.0,1.60,9.88,7.81,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,1,18,49,999,99.0,99.0,1.61,10.53,7.58,345,9999.0,999.0,12.0,999.0,99.0,99.00
