Year,Site,Num.Seastars
1954,West,95
1955,West,113
1985,West,149
1985,West,147
1995,West,170
1995,West,182
2001,West,128
2004,West,86
2005,West,63
2006,West,32
2009,West,57
2010,West,30
2011,West,59
2012,West,32
2013,West,18
2014,West,1.6
2015,West,0.9
2016,West,6.5
2017,West,1
2021,West,3
2023,West,1.5
2024,West,4
1954,East,113
1955,East,138
1985,East,60
1985,East,64
1995,East,12
1995,East,15
2001,East,24
2004,East,11
2005,East,49
2006,East,15
2009,East,14
2010,East,9
2011,East,5.7
2012,East,
2013,East,
2014,East,4.5
2015,East,11
2016,East,
2017,East,5
2021,East,1
2023,East,3
2024,East,4
