Site,Date,Plot number,Number,Species
East,6/18/2014,1,11,Ocinebrina circumtexta
East,6/19/2014,2,3,Ocinebrina circumtexta
East,6/19/2014,3,1,Ocinebrina circumtexta
East,6/19/2014,4,4,Ocinebrina circumtexta
East,6/18/2014,5,0,Ocinebrina circumtexta
West,6/18/2014,6,16,Ocinebrina circumtexta
West,6/18/2014,7,6,Ocinebrina circumtexta
West,6/18/2014,8,13,Ocinebrina circumtexta
West,6/18/2014,9,5,Ocinebrina circumtexta
West,6/18/2014,10,14,Ocinebrina circumtexta
East,6/18/2014,1,0,Nucella emarginata
East,6/19/2014,2,4,Nucella emarginata
East,6/19/2014,3,1,Nucella emarginata
East,6/19/2014,4,2,Nucella emarginata
East,6/18/2014,5,2,Nucella emarginata
West,6/18/2014,6,1,Nucella emarginata
West,6/18/2014,7,1,Nucella emarginata
West,6/18/2014,8,1,Nucella emarginata
West,6/18/2014,9,0,Nucella emarginata
West,6/18/2014,10,0,Nucella emarginata
East,6/27/2014,1,4,Ocinebrina circumtexta
East,6/27/2014,2,3,Ocinebrina circumtexta
East,6/27/2014,3,0,Ocinebrina circumtexta
East,6/27/2014,4,3,Ocinebrina circumtexta
East,6/27/2014,5,1,Ocinebrina circumtexta
West,6/27/2014,6,7,Ocinebrina circumtexta
West,6/27/2014,7,6,Ocinebrina circumtexta
West,6/27/2014,8,12,Ocinebrina circumtexta
West,6/27/2014,9,7,Ocinebrina circumtexta
West,6/27/2014,10,10,Ocinebrina circumtexta
East,6/27/2014,1,1,Nucella emarginata
East,6/27/2014,2,2,Nucella emarginata
East,6/27/2014,3,0,Nucella emarginata
East,6/27/2014,4,1,Nucella emarginata
East,6/27/2014,5,2,Nucella emarginata
West,6/27/2014,6,0,Nucella emarginata
West,6/27/2014,7,0,Nucella emarginata
West,6/27/2014,8,2,Nucella emarginata
West,6/27/2014,9,2,Nucella emarginata
West,6/27/2014,10,1,Nucella emarginata
East,7/15/2014,1,9,Ocinebrina circumtexta
East,7/15/2014,2,3,Ocinebrina circumtexta
East,7/15/2014,3,9,Ocinebrina circumtexta
East,7/15/2014,4,2,Ocinebrina circumtexta
East,7/14/2014,5,11,Ocinebrina circumtexta
West,7/14/2014,6,10,Ocinebrina circumtexta
West,7/14/2014,7,5,Ocinebrina circumtexta
West,7/14/2014,8,6,Ocinebrina circumtexta
West,7/14/2014,9,2,Ocinebrina circumtexta
West,7/14/2014,10,7,Ocinebrina circumtexta
East,7/15/2014,1,2,Nucella emarginata
East,7/15/2014,2,1,Nucella emarginata
East,7/15/2014,3,1,Nucella emarginata
East,7/15/2014,4,2,Nucella emarginata
East,7/14/2014,5,0,Nucella emarginata
West,7/14/2014,6,0,Nucella emarginata
West,7/14/2014,7,2,Nucella emarginata
West,7/14/2014,8,0,Nucella emarginata
West,7/14/2014,9,0,Nucella emarginata
West,7/14/2014,10,0,Nucella emarginata
East,8/11/2014,1,9,Ocinebrina circumtexta
East,8/11/2014,2,2,Ocinebrina circumtexta
East,8/11/2014,3,1,Ocinebrina circumtexta
East,8/11/2014,4,1,Ocinebrina circumtexta
East,8/11/2014,5,0,Ocinebrina circumtexta
West,8/11/2014,6,4,Ocinebrina circumtexta
West,8/11/2014,7,7,Ocinebrina circumtexta
West,8/11/2014,8,5,Ocinebrina circumtexta
West,8/11/2014,9,1,Ocinebrina circumtexta
West,8/11/2014,10,6,Ocinebrina circumtexta
East,8/11/2014,1,2,Nucella emarginata
East,8/11/2014,2,3,Nucella emarginata
East,8/11/2014,3,2,Nucella emarginata
East,8/11/2014,4,0,Nucella emarginata
East,8/11/2014,5,0,Nucella emarginata
West,8/11/2014,6,0,Nucella emarginata
West,8/11/2014,7,0,Nucella emarginata
West,8/11/2014,8,1,Nucella emarginata
West,8/11/2014,9,0,Nucella emarginata
West,8/11/2014,10,0,Nucella emarginata
East,10/1/2015,1,1,Ocinebrina circumtexta
East,10/1/2015,2,7,Ocinebrina circumtexta
