#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 07 01 00 26 999 99.0 99.0  0.60  8.33  4.48 336 9999.0 999.0  15.0 999.0 99.0 99.00
2023 07 01 00 56 999 99.0 99.0  0.57  9.09  4.78 338 9999.0 999.0  15.0 999.0 99.0 99.00
2023 07 01 01 26 999 99.0 99.0  0.59  8.33  5.02 331 9999.0 999.0  15.0 999.0 99.0 99.00
2023 07 01 01 56 999 99.0 99.0  0.60  9.88  5.04 339 9999.0 999.0  15.0 999.0 99.0 99.00
2023 07 01 02 26 999 99.0 99.0  0.67  9.88  5.12 343 9999.0 999.0  15.1 999.0 99.0 99.00
2023 07 01 02 56 999 99.0 99.0  0.67  9.88  5.12 338 9999.0 999.0  15.1 999.0 99.0 99.00
2023 07 01 03 26 999 99.0 99.0  0.65  9.09  5.05 335 9999.0 999.0  15.1 999.0 99.0 99.00
2023 07 01 03 56 999 99.0 99.0  0.74  9.09  5.75 334 9999.0 999.0  15.0 999.0 99.0 99.00
2023 07 01 04 26 999 99.0 99.0  0.64  9.88  5.20 335 9999.0 999.0  15.0 999.0 99.0 99.00
2023 07 01 04 56 999 99.0 99.0  0.69  9.88  5.65 336 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 05 26 999 99.0 99.0  0.64  9.88  5.15 334 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 05 56 999 99.0 99.0  0.64  8.33  5.22 332 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 06 26 999 99.0 99.0  0.68  8.33  5.42 335 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 06 56 999 99.0 99.0  0.63  9.09  5.02 336 9999.0 999.0  14.7 999.0 99.0 99.00
2023 07 01 07 26 999 99.0 99.0  0.62  8.33  5.39 334 9999.0 999.0  14.7 999.0 99.0 99.00
2023 07 01 07 56 999 99.0 99.0  0.62  8.33  5.42 334 9999.0 999.0  14.7 999.0 99.0 99.00
2023 07 01 08 26 999 99.0 99.0  0.64  8.33  5.63 334 9999.0 999.0  14.7 999.0 99.0 99.00
2023 07 01 08 56 999 99.0 99.0  0.58  8.33  5.27 335 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 09 26 999 99.0 99.0  0.50  8.33  4.95 334 9999.0 999.0  14.7 999.0 99.0 99.00
2023 07 01 09 56 999 99.0 99.0  0.48  9.09  5.17 338 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 10 26 999 99.0 99.0  0.50  9.09  5.77 339 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 10 56 999 99.0 99.0  0.51  9.09  6.46 336 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 11 26 999 99.0 99.0  0.41  9.09  5.94 336 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 11 56 999 99.0 99.0  0.45  9.09  6.30 336 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 12 26 999 99.0 99.0  0.51  9.88  6.61 342 9999.0 999.0  14.8 999.0 99.0 99.00
2023 07 01 12 56 999 99.0 99.0  0.51  9.88  6.51 345 9999.0 999.0  14.8 999.0 99.0 99.00
