#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD ,  APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec ,  sec ,deg ,   hPa , degC  ,degC , degC , nmi ,   ft
2024,2,1,0,26,999,99.0,99.0,1.28,12.50,11.12,346,9999.0,999.0,13.7,999.0,99.0,99.00
2024,2,1,0,56,999,99.0,99.0,1.21,12.50,10.80,351,9999.0,999.0,13.7,999.0,99.0,99.00
2024,2,1,1,26,999,99.0,99.0,1.49,12.50,11.68,346,9999.0,999.0,13.7,999.0,99.0,99.00
2024,2,1,1,56,999,99.0,99.0,1.27,13.33,11.38,349,9999.0,999.0,13.7,999.0,99.0,99.00
2024,2,1,2,26,999,99.0,99.0,1.54,12.50,11.52,348,9999.0,999.0,13.7,999.0,99.0,99.00
2024,2,1,2,56,999,99.0,99.0,1.39,12.50,11.36,348,9999.0,999.0,13.6,999.0,99.0,99.00
2024,2,1,3,26,999,99.0,99.0,1.51,12.50,11.35,345,9999.0,999.0,13.6,999.0,99.0,99.00
2024,2,1,3,56,999,99.0,99.0,1.36,11.76,11.22,348,9999.0,999.0,13.6,999.0,99.0,99.00
2024,2,1,4,26,999,99.0,99.0,1.52,12.50,11.37,348,9999.0,999.0,13.7,999.0,99.0,99.00
2024,2,1,4,56,999,99.0,99.0,1.61,12.50,11.42,348,9999.0,999.0,13.7,999.0,99.0,99.00
2024,2,1,5,26,999,99.0,99.0,1.73,12.50,11.38,346,9999.0,999.0,13.6,999.0,99.0,99.00
2024,2,1,5,56,999,99.0,99.0,1.46,12.50,11.18,345,9999.0,999.0,13.6,999.0,99.0,99.00
2024,2,1,6,26,999,99.0,99.0,1.48,12.50,11.34,342,9999.0,999.0,13.6,999.0,99.0,99.00
2024,2,1,6,56,999,99.0,99.0,1.44,12.50,11.31,348,9999.0,999.0,13.4,999.0,99.0,99.00
2024,2,1,7,26,999,99.0,99.0,1.55,11.76,11.36,343,9999.0,999.0,13.4,999.0,99.0,99.00
2024,2,1,7,56,999,99.0,99.0,1.39,12.50,11.23,348,9999.0,999.0,13.5,999.0,99.0,99.00
2024,2,1,8,26,999,99.0,99.0,1.30,11.76,11.08,349,9999.0,999.0,13.5,999.0,99.0,99.00
2024,2,1,8,56,999,99.0,99.0,1.27,12.50,11.04,348,9999.0,999.0,13.5,999.0,99.0,99.00
2024,2,1,9,26,999,99.0,99.0,1.23,11.76,11.18,348,9999.0,999.0,13.6,999.0,99.0,99.00
2024,2,1,9,56,999,99.0,99.0,1.25,11.76,11.36,346,9999.0,999.0,13.6,999.0,99.0,99.00
2024,2,1,10,26,999,99.0,99.0,1.24,13.33,11.65,351,9999.0,999.0,13.6,999.0,99.0,99.00
