#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,deg ,   hPa , degC  ,degC , degC , nmi ,   ft
2023,12,1,0,26,999,99.0,99.0,1.02,10.53,4.91,345,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,0,56,999,99.0,99.0,1.04,9.88,5.00,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,1,26,999,99.0,99.0,1.03,11.11,5.17,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,1,56,999,99.0,99.0,1.05,9.88,4.78,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,2,26,999,99.0,99.0,1.03,9.88,4.90,346,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,2,56,999,99.0,99.0,1.05,10.53,5.13,345,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,3,26,999,99.0,99.0,1.01,10.53,5.01,345,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,3,56,999,99.0,99.0,0.90,11.11,5.11,348,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,4,26,999,99.0,99.0,0.84,9.88,5.12,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,4,56,999,99.0,99.0,0.90,10.53,5.53,345,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,5,26,999,99.0,99.0,0.96,10.53,5.38,343,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,5,56,999,99.0,99.0,0.91,11.11,5.48,345,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,6,26,999,99.0,99.0,0.96,10.53,5.43,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,6,56,999,99.0,99.0,1.04,6.67,4.90,325,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,7,26,999,99.0,99.0,1.05,11.11,4.93,346,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,7,56,999,99.0,99.0,1.04,9.88,4.95,343,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,8,26,999,99.0,99.0,1.06,12.50,5.13,349,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,8,56,999,99.0,99.0,1.09,11.76,4.89,348,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,9,26,999,99.0,99.0,1.07,11.76,5.01,346,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,9,56,999,99.0,99.0,1.00,12.50,4.89,349,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,10,26,999,99.0,99.0,0.94,12.50,5.12,355,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,10,56,999,99.0,99.0,0.92,12.50,5.18,353,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,11,26,999,99.0,99.0,0.90,10.53,5.28,342,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,11,56,999,99.0,99.0,0.88,11.76,5.40,348,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,12,26,999,99.0,99.0,0.90,11.76,5.80,349,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,12,56,999,99.0,99.0,0.89,12.50,5.78,351,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,13,26,999,99.0,99.0,0.86,11.11,5.46,345,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,13,56,999,99.0,99.0,0.93,11.76,6.05,349,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,14,26,999,99.0,99.0,0.90,11.11,6.25,346,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,14,56,999,99.0,99.0,0.89,12.50,6.41,353,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,15,26,999,99.0,99.0,0.89,10.53,6.73,341,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,15,56,999,99.0,99.0,0.90,11.11,6.66,346,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,16,26,999,99.0,99.0,0.90,11.76,6.32,351,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,16,56,999,99.0,99.0,0.99,11.76,6.16,348,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,17,26,999,99.0,99.0,1.02,12.50,6.25,355,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,17,56,999,99.0,99.0,0.99,11.76,6.53,349,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,18,26,999,99.0,99.0,1.01,12.50,6.40,355,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,1,18,56,999,99.0,99.0,1.05,10.53,6.53,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,19,26,999,99.0,99.0,1.05,11.76,7.06,346,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,19,56,999,99.0,99.0,1.08,11.11,7.39,349,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,20,26,999,99.0,99.0,1.03,12.50,7.17,349,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,20,56,999,99.0,99.0,1.04,11.76,7.52,346,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,1,21,26,999,99.0,99.0,1.07,12.50,7.08,349,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,1,21,56,999,99.0,99.0,0.99,11.11,6.26,348,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,1,22,26,999,99.0,99.0,0.94,11.76,5.82,351,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,1,22,56,999,99.0,99.0,1.00,10.53,5.96,343,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,1,23,26,999,99.0,99.0,1.06,11.76,5.99,345,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,1,23,56,999,99.0,99.0,1.07,12.50,6.00,353,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,2,0,26,999,99.0,99.0,1.07,7.69,5.71,331,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,2,0,56,999,99.0,99.0,1.10,14.29,5.85,351,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,2,1,26,999,99.0,99.0,1.13,14.29,5.52,356,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,2,1,56,999,99.0,99.0,1.11,11.11,5.47,352,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,2,2,26,999,99.0,99.0,1.14,9.88,5.57,341,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,2,56,999,99.0,99.0,1.15,14.29,5.46,2,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,3,26,999,99.0,99.0,1.14,12.50,5.92,356,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,3,56,999,99.0,99.0,1.09,9.88,5.57,343,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,4,26,999,99.0,99.0,1.13,12.50,6.45,353,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,4,56,999,99.0,99.0,1.10,10.53,7.21,348,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,5,26,999,99.0,99.0,1.17,14.29,7.92,2,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,5,56,999,99.0,99.0,1.11,9.88,8.15,343,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,6,26,999,99.0,99.0,1.21,10.53,8.47,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,6,56,999,99.0,99.0,1.10,11.76,8.46,351,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,7,26,999,99.0,99.0,1.14,9.88,8.99,343,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,7,56,999,99.0,99.0,1.06,11.76,9.17,351,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,8,26,999,99.0,99.0,1.02,13.33,9.04,356,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,8,56,999,99.0,99.0,1.11,12.50,9.30,353,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,9,26,999,99.0,99.0,1.11,11.76,9.68,351,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,9,56,999,99.0,99.0,1.18,10.53,9.59,345,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,10,26,999,99.0,99.0,1.19,10.53,9.64,343,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,10,56,999,99.0,99.0,1.20,11.11,9.66,348,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,11,26,999,99.0,99.0,1.17,12.50,9.72,352,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,11,56,999,99.0,99.0,1.22,11.76,9.80,353,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,12,26,999,99.0,99.0,1.42,10.53,9.86,346,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,12,56,999,99.0,99.0,1.16,11.76,9.44,352,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,13,26,999,99.0,99.0,1.34,10.53,9.91,346,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,13,56,999,99.0,99.0,1.21,11.11,9.79,349,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,2,14,26,999,99.0,99.0,1.23,10.53,9.74,345,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,2,14,56,999,99.0,99.0,1.27,11.76,9.93,349,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,2,15,26,999,99.0,99.0,1.22,11.76,9.50,349,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,2,15,56,999,99.0,99.0,1.28,11.76,9.66,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,2,16,26,999,99.0,99.0,1.28,11.76,9.95,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,2,16,56,999,99.0,99.0,1.17,11.76,9.56,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,2,17,26,999,99.0,99.0,1.11,11.11,9.53,345,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,17,56,999,99.0,99.0,1.13,11.76,9.39,349,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,2,18,26,999,99.0,99.0,1.11,10.53,9.61,345,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,18,56,999,99.0,99.0,1.08,10.53,9.56,345,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,19,26,999,99.0,99.0,1.04,9.88,9.51,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,19,56,999,99.0,99.0,1.09,11.11,9.51,346,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,2,20,26,999,99.0,99.0,1.13,11.76,9.70,352,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,2,20,56,999,99.0,99.0,1.05,12.50,9.53,349,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,2,21,26,999,99.0,99.0,1.10,11.76,9.53,351,9999.0,999.0,15.1,999.0,99.0,99.00
2023,12,2,21,56,999,99.0,99.0,1.01,11.76,9.56,353,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,2,22,26,999,99.0,99.0,1.03,11.76,9.67,352,9999.0,999.0,15.2,999.0,99.0,99.00
2023,12,2,22,56,999,99.0,99.0,0.98,10.53,9.40,345,9999.0,999.0,15.2,999.0,99.0,99.00
2023,12,2,23,26,999,99.0,99.0,1.06,11.76,9.73,355,9999.0,999.0,15.1,999.0,99.0,99.00
2023,12,2,23,56,999,99.0,99.0,1.01,11.11,9.38,349,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,3,0,26,999,99.0,99.0,0.96,11.11,9.36,351,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,3,0,56,999,99.0,99.0,1.04,11.76,9.47,352,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,3,1,26,999,99.0,99.0,0.93,12.50,9.08,356,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,1,56,999,99.0,99.0,1.00,11.76,9.26,349,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,3,2,26,999,99.0,99.0,1.15,11.11,9.74,351,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,2,56,999,99.0,99.0,1.05,10.53,9.40,346,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,3,26,999,99.0,99.0,1.16,10.53,9.75,348,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,3,56,999,99.0,99.0,1.09,11.76,9.60,351,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,4,26,999,99.0,99.0,1.11,11.76,9.76,351,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,4,56,999,99.0,99.0,1.12,9.88,9.59,342,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,5,26,999,99.0,99.0,1.21,11.11,9.73,353,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,5,56,999,99.0,99.0,1.22,10.53,9.53,346,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,3,6,26,999,99.0,99.0,1.39,11.76 1,0.00,352,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,6,56,999,99.0,99.0,1.09,9.88,9.46,343,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,7,26,999,99.0,99.0,1.23,11.76,9.69,349,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,3,7,56,999,99.0,99.0,1.31,11.76,9.79,352,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,3,8,26,999,99.0,99.0,1.21,10.53,9.58,345,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,3,8,56,999,99.0,99.0,1.35,11.11,9.94,348,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,3,9,26,999,99.0,99.0,1.35,11.11,9.94,348,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,9,56,999,99.0,99.0,1.26,10.53,9.68,348,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,10,26,999,99.0,99.0,1.33,11.11 1,0.00,346,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,10,56,999,99.0,99.0,1.38,10.53,9.84,345,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,11,26,999,99.0,99.0,1.23,11.76,9.92,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,11,56,999,99.0,99.0,1.26,12.50,9.91,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,12,26,999,99.0,99.0,1.26,11.11,9.97,349,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,12,56,999,99.0,99.0,1.25,13.33,9.96,0,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,13,26,999,99.0,99.0,1.29,11.76 1,0.10,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,13,56,999,99.0,99.0,1.29,13.33 1,0.13,358,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,14,26,999,99.0,99.0,1.24,13.33 1,0.31,359,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,14,56,999,99.0,99.0,1.37,12.50 1,0.72,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,15,26,999,99.0,99.0,1.21,11.76,9.98,352,9999.0,999.0,14.6,999.0,99.0,99.00
2023,12,3,15,56,999,99.0,99.0,1.29,11.76 1,0.07,349,9999.0,999.0,14.6,999.0,99.0,99.00
2023,12,3,16,26,999,99.0,99.0,1.52,12.50 1,0.71,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,16,56,999,99.0,99.0,1.19,12.50,9.98,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,17,26,999,99.0,99.0,1.33,14.29 1,0.37,5,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,17,56,999,99.0,99.0,1.54,12.50 1,0.81,353,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,18,26,999,99.0,99.0,1.22,11.76,9.91,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,3,18,56,999,99.0,99.0,1.39,13.33 1,0.75,355,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,3,19,26,999,99.0,99.0,1.38,11.76 1,0.28,349,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,3,19,56,999,99.0,99.0,1.41,11.76 1,0.60,352,9999.0,999.0,15.1,999.0,99.0,99.00
2023,12,3,20,26,999,99.0,99.0,1.33,11.11 1,0.15,349,9999.0,999.0,15.3,999.0,99.0,99.00
2023,12,3,20,56,999,99.0,99.0,1.42,11.11 1,0.52,348,9999.0,999.0,15.3,999.0,99.0,99.00
2023,12,3,21,26,999,99.0,99.0,1.24,12.50,9.94,352,9999.0,999.0,15.1,999.0,99.0,99.00
2023,12,3,21,56,999,99.0,99.0,1.46,11.76 1,0.36,349,9999.0,999.0,15.2,999.0,99.0,99.00
2023,12,3,22,26,999,99.0,99.0,1.23,11.11,9.96,348,9999.0,999.0,15.3,999.0,99.0,99.00
2023,12,3,22,56,999,99.0,99.0,1.43,11.11 1,0.26,346,9999.0,999.0,15.2,999.0,99.0,99.00
2023,12,3,23,26,999,99.0,99.0,1.36,11.76 1,0.30,352,9999.0,999.0,15.1,999.0,99.0,99.00
2023,12,3,23,56,999,99.0,99.0,1.40,13.33 1,0.29,356,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,4,0,26,999,99.0,99.0,1.46,11.11 1,0.24,346,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,4,0,56,999,99.0,99.0,1.32,11.76 1,0.23,351,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,4,1,26,999,99.0,99.0,1.25,12.50 1,0.00,359,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,4,1,56,999,99.0,99.0,1.37,11.76 1,0.08,351,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,4,2,26,999,99.0,99.0,1.36,11.76,9.84,351,9999.0,999.0,15.0,999.0,99.0,99.00
2023,12,4,2,56,999,99.0,99.0,1.44,10.53,9.72,348,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,3,26,999,99.0,99.0,1.35,10.53,9.50,348,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,3,56,999,99.0,99.0,1.23,11.76,9.22,349,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,4,26,999,99.0,99.0,1.30,10.53,9.58,346,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,4,56,999,99.0,99.0,1.37,12.50,9.93,356,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,5,26,999,99.0,99.0,1.28,11.76,9.94,352,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,5,56,999,99.0,99.0,1.38,11.76 1,0.02,351,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,6,26,999,99.0,99.0,1.37,10.53 1,0.03,345,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,6,56,999,99.0,99.0,1.37,14.29 1,0.25,0,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,7,26,999,99.0,99.0,1.43,10.53 1,0.36,346,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,7,56,999,99.0,99.0,1.31,11.76 1,0.29,349,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,8,26,999,99.0,99.0,1.32,11.11 1,0.13,351,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,8,56,999,99.0,99.0,1.26,10.53,9.82,343,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,9,26,999,99.0,99.0,1.37,11.11 1,0.17,345,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,9,56,999,99.0,99.0,1.38,12.50 1,0.25,356,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,10,26,999,99.0,99.0,1.46,11.11 1,0.09,346,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,10,56,999,99.0,99.0,1.31,11.11,9.99,348,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,11,26,999,99.0,99.0,1.38,12.50 1,0.03,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,11,56,999,99.0,99.0,1.50,11.76 1,0.51,351,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,12,26,999,99.0,99.0,1.46,13.33 1,0.40,359,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,12,56,999,99.0,99.0,1.46,11.11 1,0.48,343,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,13,26,999,99.0,99.0,1.49,13.33 1,0.03,356,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,13,56,999,99.0,99.0,1.62,11.76 1,0.40,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,14,26,999,99.0,99.0,1.50,11.76 1,0.43,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,14,56,999,99.0,99.0,1.64,11.76 1,0.40,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,15,26,999,99.0,99.0,1.59,11.76 1,0.41,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,15,56,999,99.0,99.0,1.35,12.50,9.94,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,16,26,999,99.0,99.0,1.57,11.76,9.92,352,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,16,56,999,99.0,99.0,1.44,11.76,9.71,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,17,26,999,99.0,99.0,1.29,13.33,9.22,358,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,17,56,999,99.0,99.0,1.49,11.76,9.46,351,9999.0,999.0,14.7,999.0,99.0,99.00
2023,12,4,18,26,999,99.0,99.0,1.50,11.76,9.74,349,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,18,56,999,99.0,99.0,1.42,12.50,9.86,353,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,19,26,999,99.0,99.0,1.43,11.76 1,0.09,348,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,19,56,999,99.0,99.0,1.50,13.33 1,0.51,359,9999.0,999.0,14.8,999.0,99.0,99.00
2023,12,4,20,26,999,99.0,99.0,1.32,11.11 1,0.01,349,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,20,56,999,99.0,99.0,1.39,12.50,9.99,351,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,21,26,999,99.0,99.0,1.41,11.76,9.95,351,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,21,56,999,99.0,99.0,1.34,11.76 1,0.24,348,9999.0,999.0,14.9,999.0,99.0,99.00
2023,12,4,22,26,999,99.0,99.0,1.30,13.33,9.80,358,9999.0,999.0,15.0,999.0,99.0,99.00
