#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2015,1,1,0,21,999,99.0,99.0,0.73,12.50,5.53,349,9999.0,999.0,14.1,999.0,99.0,99.00
2015,1,1,0,51,999,99.0,99.0,0.74,12.50,5.81,348,9999.0,999.0,14.0,999.0,99.0,99.00
2015,1,1,1,21,999,99.0,99.0,0.68,12.50,5.46,349,9999.0,999.0,14.0,999.0,99.0,99.00
2015,1,1,1,51,999,99.0,99.0,0.63,12.50,5.11,351,9999.0,999.0,13.9,999.0,99.0,99.00
2015,1,1,2,21,999,99.0,99.0,0.58,12.50,5.29,349,9999.0,999.0,13.9,999.0,99.0,99.00
2015,1,1,2,51,999,99.0,99.0,0.55,13.33,5.82,355,9999.0,999.0,13.8,999.0,99.0,99.00
2015,1,1,3,21,999,99.0,99.0,0.47,12.50,5.98,348,9999.0,999.0,13.8,999.0,99.0,99.00
2015,1,1,3,51,999,99.0,99.0,0.43,13.33,5.73,356,9999.0,999.0,13.8,999.0,99.0,99.00
2015,1,1,4,21,999,99.0,99.0,0.43,12.50,6.17,348,9999.0,999.0,13.8,999.0,99.0,99.00
2015,1,1,4,51,999,99.0,99.0,0.44,12.50,6.85,343,9999.0,999.0,13.7,999.0,99.0,99.00
2015,1,1,5,21,999,99.0,99.0,0.42,12.50,7.02,349,9999.0,999.0,13.7,999.0,99.0,99.00
2015,1,1,5,51,999,99.0,99.0,0.42,12.50,6.56,349,9999.0,999.0,13.7,999.0,99.0,99.00
2015,1,1,6,21,999,99.0,99.0,0.41,12.50,6.03,348,9999.0,999.0,13.7,999.0,99.0,99.00
2015,1,1,6,51,999,99.0,99.0,0.45,12.50,6.84,345,9999.0,999.0,13.6,999.0,99.0,99.00
2015,1,1,7,21,999,99.0,99.0,0.43,12.50,6.62,343,9999.0,999.0,13.7,999.0,99.0,99.00
2015,1,1,7,51,999,99.0,99.0,0.44,12.50,6.51,348,9999.0,999.0,13.6,999.0,99.0,99.00
2015,1,1,8,21,999,99.0,99.0,0.40,11.76,6.62,349,9999.0,999.0,13.6,999.0,99.0,99.00
2015,1,1,8,51,999,99.0,99.0,0.41,12.50,6.77,346,9999.0,999.0,13.6,999.0,99.0,99.00
2015,1,1,9,21,999,99.0,99.0,0.38,11.11,7.07,341,9999.0,999.0,13.6,999.0,99.0,99.00
2015,1,1,9,51,999,99.0,99.0,0.38,11.76,6.81,348,9999.0,999.0,13.5,999.0,99.0,99.00
2015,1,1,10,21,999,99.0,99.0,0.42,11.11,7.10,342,9999.0,999.0,13.5,999.0,99.0,99.00
2015,1,1,10,51,999,99.0,99.0,0.43,11.76,7.34,351,9999.0,999.0,13.4,999.0,99.0,99.00
2015,1,1,11,21,999,99.0,99.0,0.44,13.33,7.34,358,9999.0,999.0,13.4,999.0,99.0,99.00
2015,1,1,11,51,999,99.0,99.0,0.47,13.33,7.51,356,9999.0,999.0,13.3,999.0,99.0,99.00
2015,1,1,12,21,999,99.0,99.0,0.46,11.76,7.42,346,9999.0,999.0,13.3,999.0,99.0,99.00
2015,1,1,12,51,999,99.0,99.0,0.47,11.76,7.70,349,9999.0,999.0,13.4,999.0,99.0,99.00
2015,1,1,13,21,999,99.0,99.0,0.51,12.50,7.49,351,9999.0,999.0,13.4,999.0,99.0,99.00
2015,1,1,13,51,999,99.0,99.0,0.53,13.33,7.32,353,9999.0,999.0,13.3,999.0,99.0,99.00
2015,1,1,14,21,999,99.0,99.0,0.54,12.50,6.68,356,9999.0,999.0,13.3,999.0,99.0,99.00
2015,1,1,14,51,999,99.0,99.0,0.53,12.50,6.64,355,9999.0,999.0,13.3,999.0,99.0,99.00
